path,lines,nonEmptyLines,maxLineLen,maxLineNo
Assets/Scenes/Script/Actor.cs,177,154,234,107
Assets/Scenes/Script/AOEBlueHighlighter.cs,119,100,104,118
Assets/Scenes/Script/Billboard.cs,19,15,87,16
Assets/Scenes/Script/CameraController.cs,72,57,100,22
Assets/Scenes/Script/Cannon/Cannon.cs,84,71,106,80
Assets/Scenes/Script/Cannon/CannonBallMove.cs,52,42,99,6
Assets/Scenes/Script/Cannon/CannonManager.cs,36,29,99,7
Assets/Scenes/Script/Cooldown.cs,16,12,99,5
Assets/Scenes/Script/CooldownCheck.cs,9,8,70,7
Assets/Scenes/Script/CountButton.cs,133,129,129,36
Assets/Scenes/Script/CountScript.cs,66,59,127,31
Assets/Scenes/Script/Enemy/BuffController.cs,85,65,107,82
Assets/Scenes/Script/Enemy/EnemyStats.cs,311,255,196,137
Assets/Scenes/Script/Enemy/HealthBar.cs,156,125,116,50
Assets/Scenes/Script/Enemy/Highlightable.cs,48,38,68,45
Assets/Scenes/Script/Enemy/WalkForward.cs,105,85,122,85
Assets/Scenes/Script/Energy.cs,46,38,99,14
Assets/Scenes/Script/FPS.cs,34,26,72,30
Assets/Scenes/Script/GradientHealthBar.cs,48,40,85,30
Assets/Scenes/Script/Item/Item.cs,1656,1374,235,131
Assets/Scenes/Script/Item/ItemManager.cs,658,574,175,70
Assets/Scenes/Script/Item/ItemScript.cs,158,133,194,125
Assets/Scenes/Script/Item/ItemScrollView.cs,147,120,127,140
Assets/Scenes/Script/Item/ItemStatus.cs,157,137,201,83
Assets/Scenes/Script/Item/MyButtonTrigger.cs,34,30,87,29
Assets/Scenes/Script/Item/RightClickButtonHandler.cs,134,116,132,109
Assets/Scenes/Script/KeyButton.cs,46,41,104,5
Assets/Scenes/Script/Log/ChatManager.cs,117,93,102,83
Assets/Scenes/Script/Log/ChatMessageAutoHeight.cs,28,22,71,26
Assets/Scenes/Script/Log/CreateLog.cs,16,12,99,5
Assets/Scenes/Script/Log/TMPFadeOut_Update.cs,66,55,77,57
Assets/Scenes/Script/Manager/AoeIndicatorLite.cs,37,32,113,17
Assets/Scenes/Script/Manager/DataManager.cs,198,177,99,8
Assets/Scenes/Script/Manager/GameManager.cs,600,509,203,364
Assets/Scenes/Script/MyMathf.cs,6,5,70,5
Assets/Scenes/Script/Node.cs,35,29,67,33
Assets/Scenes/Script/OctagonPrismMesh.cs,114,91,136,62
Assets/Scenes/Script/Player/Animation/HitPoint.cs,131,105,159,103
Assets/Scenes/Script/Player/SetPlayer.cs,34,29,99,6
Assets/Scenes/Script/Player/SetPlayer/ActionScript.cs,334,292,117,157
Assets/Scenes/Script/Player/SetPlayer/AgentMove.cs,83,68,97,67
Assets/Scenes/Script/Player/SetPlayer/AreaEffectInstance.cs,85,69,107,69
Assets/Scenes/Script/Player/SetPlayer/AutoAttack.cs,96,81,128,52
Assets/Scenes/Script/Player/SetPlayer/HoldScanner.cs,73,63,164,22
Assets/Scenes/Script/Player/SetPlayer/Outline.cs,309,233,133,67
Assets/Scenes/Script/Player/SetPlayer/PlayerAttack.cs,57,50,114,33
Assets/Scenes/Script/Player/SetPlayer/PlayerBar.cs,39,33,99,9
Assets/Scenes/Script/Player/SetPlayer/PlayerStats.cs,269,206,156,264
Assets/Scenes/Script/Player/SetPlayer/Skill.cs,124,104,101,102
Assets/Scenes/Script/Player/SetPlayer/StatsWindow.cs,149,141,147,33
Assets/Scenes/Script/Player/SetPlayer/Teleport.cs,16,12,99,5
Assets/Scenes/Script/PriorityQueue.cs,203,180,75,149
Assets/Scenes/Script/SkillCool.cs,27,21,65,7
Assets/Scenes/Script/SlideInSpawner.cs,48,37,144,43
Assets/Scenes/Script/Story.cs,193,174,237,159
Assets/Scenes/Script/StoryBar.cs,32,26,99,7
Assets/Scenes/Script/Summoner.cs,76,59,126,27
Assets/Scenes/Script/TargetDetector.cs,67,58,85,22
Assets/Scenes/Script/TargetUIFollower.cs,101,82,94,7
Assets/Scenes/Script/TimerPosition.cs,17,13,99,5
Assets/Scenes/Script/UiRayUtil.cs,33,27,79,8
Assets/Scenes/Script/UnitStatus.cs,70,65,119,44
Assets/Scenes/Script/Utility.cs,1,0,0,0
